theta,n_BE_pred,n_obs,D_pred,D_obs,gbar_log,gobs_log
0.380548,2.159426,2.388442,3.159426,3.388442,-10.7600,-10.2300
0.343091,2.443213,2.890451,3.443213,3.890451,-10.8500,-10.2600
0.312903,2.721914,3.265795,3.721914,4.265795,-10.9300,-10.3000
0.285371,3.027963,3.786301,4.027963,4.786301,-11.0100,-10.3300
0.254337,3.452965,4.495409,4.452965,5.495409,-11.1100,-10.3700
0.295399,2.909830,2.981072,3.909830,3.981072,-10.9800,-10.3800
0.323899,2.614328,3.786301,3.614328,4.786301,-10.9000,-10.2200
0.309321,2.758623,3.466836,3.758623,4.466836,-10.9400,-10.2900
0.275683,3.150304,3.365158,4.150304,4.365158,-11.0400,-10.4000
0.229303,3.880137,4.370318,4.880137,5.370318,-11.2000,-10.4700
0.190726,4.759014,5.760830,5.759014,6.760830,-11.3600,-10.5300
0.173944,5.263466,6.413102,6.263466,7.413102,-11.4400,-10.5700
0.166115,5.533755,6.585776,6.533755,7.585776,-11.4800,-10.6000
0.173944,5.263466,5.760830,6.263466,6.760830,-11.4400,-10.6100
0.180057,5.068802,4.623413,6.068802,5.623413,-11.4100,-10.6600
0.173944,5.263466,4.495409,6.263466,5.495409,-11.4400,-10.7000
0.556429,1.343308,2.890451,2.343308,3.890451,-10.4300,-9.8400
0.575983,1.283899,2.019952,2.283899,3.019952,-10.4000,-9.9200
0.537538,1.404913,2.311311,2.404913,3.311311,-10.4600,-9.9400
0.490241,1.580505,2.801894,2.580505,3.801894,-10.5400,-9.9600
0.447105,1.773747,3.265795,2.773747,4.265795,-10.6200,-9.9900
0.407764,1.986283,3.570882,2.986283,4.570882,-10.7000,-10.0400
0.380548,2.159426,3.570882,3.159426,4.570882,-10.7600,-10.1000
0.355148,2.345261,3.786301,3.345261,4.786301,-10.8200,-10.1400
0.331443,2.544676,4.011872,3.544676,5.011872,-10.8800,-10.1800
0.312903,2.721914,4.011872,3.721914,5.011872,-10.9300,-10.2300
0.302280,2.833343,3.897788,3.833343,4.897788,-10.9600,-10.2700
0.288675,2.988125,4.011872,3.988125,5.011872,-11.0000,-10.3000
0.272527,3.192045,4.248075,4.192045,5.248075,-11.0500,-10.3300
0.254337,3.452965,4.495409,4.452965,5.495409,-11.1100,-10.3700
0.237361,3.732753,4.888437,4.732753,5.888437,-11.1700,-10.4000
0.216476,4.137479,5.606934,5.137479,6.606934,-11.2500,-10.4300
0.209127,4.299206,5.918310,5.299206,6.918310,-11.2800,-10.4400
0.202027,4.466658,5.918310,5.466658,6.918310,-11.3100,-10.4700
0.192934,4.699180,6.244360,5.699180,7.244360,-11.3500,-10.4900
0.186384,4.880781,6.413102,5.880781,7.413102,-11.3800,-10.5100
0.180057,5.068802,6.413102,6.068802,7.413102,-11.4100,-10.5400
0.177996,5.132940,6.244360,6.132940,7.244360,-11.4200,-10.5600
0.173944,5.263466,6.244360,6.263466,7.244360,-11.4400,-10.5800
0.164214,5.603304,6.762471,6.603304,7.762471,-11.4900,-10.6000
0.160476,5.744839,6.762471,6.744839,7.762471,-11.5100,-10.6200
0.156823,5.889684,6.585776,6.889684,7.585776,-11.5300,-10.6500
0.149765,6.189618,6.943282,7.189618,7.943282,-11.5700,-10.6700
0.144680,6.423844,7.128305,7.423844,8.128305,-11.6000,-10.6900
0.141387,6.584566,7.128305,7.584566,8.128305,-11.6200,-10.7100
0.139769,6.666330,7.128305,7.666330,8.128305,-11.6300,-10.7200
0.288675,2.988125,5.456542,3.988125,6.456542,-11.0000,-10.1900
0.292018,2.948749,7.128305,3.948749,8.128305,-10.9900,-10.0800
0.309321,2.758623,6.244360,3.758623,7.244360,-10.9400,-10.0800
0.316526,2.685631,5.025596,3.685631,6.025596,-10.9200,-10.1400
0.292018,2.948749,5.165950,3.948749,6.165950,-10.9900,-10.2000
0.282104,3.068268,4.888437,4.068268,5.888437,-11.0200,-10.2500
0.275683,3.150304,4.623413,4.150304,5.623413,-11.0400,-10.2900
0.269407,3.234275,4.495409,4.234275,5.495409,-11.0600,-10.3200
0.266323,3.277000,4.370318,4.277000,5.370318,-11.0700,-10.3400
0.245702,3.590419,4.754399,4.590419,5.754399,-11.1400,-10.3800
0.229303,3.880137,5.165950,4.880137,6.165950,-11.2000,-10.4100
0.211548,4.244671,5.760830,5.244671,6.760830,-11.2700,-10.4400
0.199714,4.523782,6.079458,5.523782,7.079458,-11.3200,-10.4700
0.206733,4.354377,5.165950,5.354377,6.165950,-11.2900,-10.5000
0.195168,4.640035,5.606934,5.640035,6.606934,-11.3400,-10.5200
0.188543,4.819545,5.760830,5.819545,6.760830,-11.3700,-10.5400
0.700502,0.985451,0.905461,1.985451,1.905461,-10.2300,-9.9500
0.550059,1.363595,1.691535,2.363595,2.691535,-10.4400,-10.0100
0.441987,1.799223,1.884032,2.799223,2.884032,-10.6300,-10.1700
0.376192,2.189494,1.818383,3.189494,2.818383,-10.7700,-10.3200
0.327649,2.579298,1.884032,3.579298,2.884032,-10.8900,-10.4300
0.285371,3.027963,2.019952,4.027963,3.019952,-11.0100,-10.5300
0.254337,3.452965,2.162278,4.452965,3.162278,-11.1100,-10.6100
0.412486,1.958601,1.454709,2.958601,2.454709,-10.6900,-10.3000
